Designator,Footprint,Quantity,Value,LCSC Part #
C1,C1206,1,22 uF,C90146
"J1, J2",HDR-TH_24P-P2.54-V-F,2,X6511FV-24-C85D32,C2883741
"R1, R2",R1206,2,1k,C4410
U1,DC-IN-TH_XDJK-0051-025,1,XDJK-0051-025,C7498153
"U2, U3",HDR-TH_14P-P2.54-V-F,2,BX-PM2.54-1-14PY,C18078135
