Designator,Mid X,Mid Y,Rotation,Layer
S43,249.411096,-240.388181,0.0,bottom
S44,269.731096,-240.388181,0.0,bottom
S45,290.051096,-240.388181,0.0,bottom
S46,310.371096,-240.388181,0.0,bottom
S47,330.691096,-240.388181,0.0,bottom
S48,351.011096,-240.388181,0.0,bottom
S49,218.931096,-152.4,180.0,bottom
S5,300.211096,-152.4,180.0,bottom
S50,198.611096,-152.4,180.0,bottom
S51,178.291096,-152.4,180.0,bottom
S52,157.971096,-152.4,180.0,bottom
S53,137.651096,-152.4,180.0,bottom
S54,117.331096,-152.4,180.0,bottom
S55,97.011096,-152.4,180.0,bottom
S56,76.691096,-152.4,180.0,bottom
S57,66.531096,-169.997636,0.0,bottom
S58,86.851096,-169.997636,0.0,bottom
S59,107.171096,-169.997636,0.0,bottom
S6,279.891096,-152.4,180.0,bottom
S60,127.491096,-169.997636,0.0,bottom
S61,147.811096,-169.997636,0.0,bottom
S62,168.131096,-169.997636,0.0,bottom
S63,188.451096,-169.997636,0.0,bottom
S64,208.771096,-169.997636,0.0,bottom
S65,198.611096,-187.595272,180.0,bottom
S66,178.291096,-187.595272,180.0,bottom
S67,157.971096,-187.595272,180.0,bottom
S68,137.651096,-187.595272,180.0,bottom
S69,117.331096,-187.595272,180.0,bottom
S7,259.571096,-152.4,180.0,bottom
S70,97.011096,-187.595272,180.0,bottom
S71,76.691096,-187.595272,180.0,bottom
S72,56.371096,-187.595272,180.0,bottom
S73,66.531096,-205.192908,0.0,bottom
S74,86.851096,-205.192908,0.0,bottom
S75,107.171096,-205.192908,0.0,bottom
S76,127.491096,-205.192908,0.0,bottom
S77,147.811096,-205.192908,0.0,bottom
S78,168.131096,-205.192908,0.0,bottom
S79,188.451096,-205.192908,0.0,bottom
S8,239.251096,-152.4,180.0,bottom
S80,208.771096,-205.192908,0.0,bottom
S81,198.611096,-222.790544,180.0,bottom
S82,178.291096,-222.790544,180.0,bottom
S83,157.971096,-222.790544,180.0,bottom
S84,137.651096,-222.790544,180.0,bottom
S85,117.331096,-222.790544,180.0,bottom
S86,97.011096,-222.790544,180.0,bottom
S87,76.691096,-222.790544,180.0,bottom
S88,56.371096,-222.790544,180.0,bottom
S89,46.211096,-240.388181,0.0,bottom
S9,229.091096,-169.997636,0.0,bottom
S90,66.531096,-240.388181,0.0,bottom
S91,86.851096,-240.388181,0.0,bottom
S92,107.171096,-240.388181,0.0,bottom
S93,127.491096,-240.388181,0.0,bottom
S94,147.811096,-240.388181,0.0,bottom
S95,168.131096,-240.388181,0.0,bottom
S96,188.451096,-240.388181,0.0,bottom
U1,213.7725,-135.3375,180.0,bottom
