Designator,Mid X,Mid Y,Rotation,Layer
C1,78.95,-41.95,90.0,top
J1,96.4184,-14.8844,0.0,top
J2,96.4184,-30.1244,0.0,top
R1,76.45,-41.7,90.0,top
R2,120.6,-39.6,270.0,top
U1,70.6701,-40.0763,0.0,top
U2,100.7364,-43.4848,0.0,top
U3,100.7364,-35.8648,0.0,top
